,restaurent,online_order,book_table,rating,votes,location,rest_type,food_type,cost,type,city
27359,Dalma,Yes,No,3.9,475,Koramangala 6th Block,Casual Dining,Oriya,600,Delivery,Koramangala 4th Block
27361,Vasudev Adiga's,No,No,2.8,289,Koramangala 4th Block,Casual Dining,"South Indian, North Indian, Chinese, Street Food",250,Delivery,Koramangala 4th Block
27363,Grand Gowdru Hotel,Yes,No,3.5,31,Koramangala 6th Block,Casual Dining,"South Indian, North Indian, Chinese",700,Delivery,Koramangala 4th Block
27364,Helloo Delhi,Yes,Yes,4.1,221,Koramangala 4th Block,Casual Dining,North Indian,1000,Delivery,Koramangala 4th Block
27365,Abhiruchi Moonlight,Yes,No,3.3,4,Bommanahalli,"Takeaway, Delivery",North Indian,300,Delivery,Koramangala 4th Block
27367,Indus Family Restaurant,Yes,No,3.8,117,BTM,Casual Dining,"North Indian, Biryani",600,Delivery,Koramangala 4th Block
27368,Golden China,Yes,No,3.6,22,Koramangala 1st Block,Quick Bites,Chinese,300,Delivery,Koramangala 4th Block
27369,Zengi Pub & Restaurant,Yes,No,3.7,32,BTM,"Pub, Casual Dining","Finger Food, Continental, Chinese",900,Delivery,Koramangala 4th Block
27370,Chill-Um Cafe,Yes,Yes,4.1,152,Koramangala 6th Block,Quick Bites,"Cafe, Chinese, Continental",600,Delivery,Koramangala 4th Block
27371,Swad 'E' Punjab,Yes,No,3.6,50,HSR,Casual Dining,"North Indian, Chinese, Mughlai",500,Delivery,Koramangala 4th Block
27372,Bewiched,Yes,No,3.4,10,HSR,Quick Bites,"Fast Food, Sandwich, Burger",300,Delivery,Koramangala 4th Block
27374,Kullukki,Yes,No,3.5,9,Koramangala 5th Block,Quick Bites,"Juices, Beverages, Fast Food",400,Delivery,Koramangala 4th Block
27375,Cinnamon,Yes,No,3.9,450,HSR,Casual Dining,"North Indian, Chinese, Biryani",550,Delivery,Koramangala 4th Block
27376,Lord of Combos,Yes,No,3.0,28,HSR,Delivery,North Indian,500,Delivery,Koramangala 4th Block
27377,Kettle & Kegs,Yes,No,3.4,10,HSR,Delivery,"Tea, Beverages",200,Delivery,Koramangala 4th Block
27378,Samaikya,Yes,Yes,3.9,535,HSR,Casual Dining,"Andhra, Seafood, Biryani",900,Delivery,Koramangala 4th Block
27379,Daily Bread,No,No,2.8,53,Koramangala 4th Block,"Bakery, Quick Bites","Bakery, Fast Food, Italian",600,Delivery,Koramangala 4th Block
27382,Buff Buffet Buff,Yes,Yes,4.5,3156,Koramangala 5th Block,"Casual Dining, Bar","North Indian, Chinese, Continental, Thai, Salad",1500,Delivery,Koramangala 4th Block
27383,Rajan's Cafe,Yes,No,2.8,79,Domlur,Quick Bites,"North Indian, Chinese, Fast Food",300,Delivery,Koramangala 4th Block
27384,Rashtrakutas,Yes,Yes,4.0,404,HSR,Casual Dining,"South Indian, Biryani, North Indian",800,Delivery,Koramangala 4th Block
27387,The Hidden Cafe,Yes,No,3.9,95,Koramangala 1st Block,Quick Bites,"North Indian, Fast Food",350,Delivery,Koramangala 4th Block
27388,TheRiceBowl.In,Yes,No,3.4,19,BTM,Takeaway,"Biryani, North Indian",200,Delivery,Koramangala 4th Block
27389,Momo Hut,Yes,No,4.0,684,Koramangala 5th Block,Quick Bites,"Chinese, Tibetan, Momos",250,Delivery,Koramangala 4th Block
27390,Brewz Coffee,Yes,No,3.0,61,BTM,Cafe,Cafe,650,Delivery,Koramangala 4th Block
27391,The Kream Story,Yes,No,4.1,37,Koramangala 7th Block,"Dessert Parlor, Quick Bites","Desserts, Fast Food",500,Delivery,Koramangala 4th Block
27392,Shake Tat Bottle,Yes,No,3.3,5,BTM,Beverage Shop,Beverages,200,Delivery,Koramangala 4th Block
27393,Chung Wah,Yes,No,4.0,314,Koramangala 5th Block,Casual Dining,"Chinese, Thai, Momos, Vietnamese",800,Delivery,Koramangala 4th Block
27394,The Kitchen Story,Yes,No,3.3,19,HSR,Delivery,"North Indian, Chinese",300,Delivery,Koramangala 4th Block
27395,Game Of Pizzas,No,No,3.6,16,Koramangala 4th Block,Delivery,Italian,500,Delivery,Koramangala 4th Block
27397,Maven Foods,No,No,3.6,12,Koramangala 4th Block,Quick Bites,"Continental, North Indian, South Indian",650,Delivery,Koramangala 4th Block
27398,Rveur Chocolates,No,No,3.7,13,Koramangala 4th Block,Dessert Parlor,Desserts,400,Delivery,Koramangala 4th Block
27400,Om Sai Baba Mess,Yes,No,3.1,11,HSR,Mess,South Indian,250,Delivery,Koramangala 4th Block
27401,Tim Tai,Yes,Yes,4.4,3673,Koramangala 5th Block,Casual Dining,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",1400,Delivery,Koramangala 4th Block
27402,Khiche Chale Aao,Yes,No,4.4,0,Koramangala 6th Block,Quick Bites,"North Indian, Fast Food",300,Delivery,Koramangala 4th Block
27403,Nanda's,Yes,No,2.9,361,HSR,Casual Dining,"North Indian, Chinese, Andhra",450,Delivery,Koramangala 4th Block
27406,Creme & Cheese,No,No,3.8,18,Koramangala 4th Block,"Takeaway, Delivery",Desserts,850,Delivery,Koramangala 4th Block
27407,Navab's,No,No,3.6,9,Koramangala 4th Block,Delivery,Mughlai,600,Delivery,Koramangala 4th Block
27408,Midnight Pizza Slurpp,No,No,3.7,99,Koramangala 4th Block,Delivery,"Italian, Pizza",700,Delivery,Koramangala 4th Block
27409,Night Restro,Yes,No,3.1,223,BTM,Delivery,"North Indian, Chinese",500,Delivery,Koramangala 4th Block
27410,Bhaijaan Barbeques,Yes,No,3.4,6,Koramangala 7th Block,Quick Bites,"Mughlai, Arabian, BBQ",200,Delivery,Koramangala 4th Block
27411,Popsies,Yes,No,3.9,823,Koramangala 5th Block,Casual Dining,"Chinese, Momos",750,Delivery,Koramangala 4th Block
27413,The Charcoal Factory,Yes,No,4.1,293,Koramangala 6th Block,Quick Bites,"Burger, Pizza, Momos",600,Delivery,Koramangala 4th Block
27414,New Prashanth Hotel,Yes,No,3.1,53,HSR,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery,Koramangala 4th Block
27415,Tandoor Hut,Yes,No,4.1,1003,Koramangala 5th Block,Casual Dining,"North Indian, Mughlai, Chinese, Rolls",700,Delivery,Koramangala 4th Block
27416,Sunny's Kitchen,Yes,No,3.7,62,HSR,"Takeaway, Delivery","Continental, American",500,Delivery,Koramangala 4th Block
27417,Rollin,Yes,No,4.0,211,Koramangala 4th Block,Quick Bites,"Continental, Pizza, Chinese",400,Delivery,Koramangala 4th Block
27418,Crown Gold,Yes,No,3.9,49,Koramangala 4th Block,Quick Bites,"South Indian, Chinese, Seafood",400,Delivery,Koramangala 4th Block
27419,Miss Momo,Yes,No,3.2,10,BTM,Quick Bites,"Tibetan, Momos",250,Delivery,Koramangala 4th Block
27420,Borah's Kitchen,Yes,No,3.3,12,BTM,Quick Bites,"North Indian, Chinese",250,Delivery,Koramangala 4th Block
27421,Heaven 2 Oven,Yes,No,3.3,0,BTM,Quick Bites,Chinese,300,Delivery,Koramangala 4th Block
27422,Budget Food,No,Yes,3.5,43,Old Airport Road,Casual Dining,"North Indian, Biryani",700,Delivery,Koramangala 4th Block
27423,Hunger Meals,No,No,3.8,31,Koramangala 4th Block,Delivery,"South Indian, North Indian, Biryani",400,Delivery,Koramangala 4th Block
27428,Cafemoto,Yes,No,4.0,201,Koramangala 5th Block,Cafe,"Cafe, Continental, Italian, Burger",800,Delivery,Koramangala 4th Block
27429,Venkateshwara Foods,Yes,No,3.0,13,Residency Road,"Takeaway, Delivery","Street Food, South Indian",400,Delivery,Koramangala 4th Block
27430,DinePost9,Yes,No,3.9,226,Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese, Continental",450,Delivery,Koramangala 4th Block
27431,Shudh Desi Khana,Yes,No,3.5,18,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",200,Delivery,Koramangala 4th Block
27432,Mad Over Biryani,Yes,No,3.1,9,Koramangala 6th Block,Quick Bites,"North Indian, Biryani",600,Delivery,Koramangala 4th Block
27433,Hungry Queen,Yes,No,3.6,45,HSR,"Takeaway, Delivery","North Indian, Chinese, Fast Food",300,Delivery,Koramangala 4th Block
27434,Sultans of Spice,Yes,Yes,4.5,3467,Koramangala 5th Block,Casual Dining,"North Indian, Mughlai, Salad",1300,Delivery,Koramangala 4th Block
27435,Little Kitchen,Yes,No,3.6,82,Koramangala 1st Block,Quick Bites,"Salad, Biryani, Chinese, North Indian, Kerala, Desserts, Seafood, South Indian",400,Delivery,Koramangala 4th Block
27436,Atithi,Yes,Yes,3.9,224,HSR,Casual Dining,"North Indian, Chinese, Street Food",800,Delivery,Koramangala 4th Block
27437,Bun Town,Yes,No,3.8,22,Koramangala 5th Block,Cafe,"Cafe, Bakery",500,Delivery,Koramangala 4th Block
27438,Hello Brother Hotel,No,No,3.4,6,HSR,Quick Bites,"North Indian, Chinese",300,Delivery,Koramangala 4th Block
27439,Double Blend,Yes,No,3.6,11,BTM,Takeaway,"Beverages, Fast Food",200,Delivery,Koramangala 4th Block
27440,Kick Out the Jams,Yes,No,4.0,529,Ejipura,Delivery,"Burger, American, Italian",350,Delivery,Koramangala 4th Block
27441,Naati Manae,Yes,Yes,3.9,484,Koramangala 5th Block,Casual Dining,"North Indian, South Indian, Chinese, Biryani",700,Delivery,Koramangala 4th Block
27442,Bonsouth,Yes,Yes,4.2,2620,Koramangala 5th Block,Casual Dining,"Chettinad, Andhra, Kerala",1300,Delivery,Koramangala 4th Block
27443,Crepe Nation,Yes,No,3.8,12,South Bangalore,Food Truck,"Fast Food, Desserts",300,Delivery,Koramangala 4th Block
27444,SLV Andhra Mess,Yes,No,3.5,6,Domlur,Quick Bites,"Chinese, North Indian",200,Delivery,Koramangala 4th Block
27445,Goodness! Beverages,Yes,No,3.4,4,Koramangala,Delivery,Beverages,250,Delivery,Koramangala 4th Block
27446,Hunger Night King,Yes,No,3.6,113,Koramangala 2nd Block,Delivery,"North Indian, Chinese",400,Delivery,Koramangala 4th Block
27447,Anupam's Coast II Coast,Yes,No,4.1,845,Koramangala 6th Block,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",700,Delivery,Koramangala 4th Block
27448,Status,Yes,No,3.6,119,Old Airport Road,Casual Dining,"Chinese, North Indian",550,Delivery,Koramangala 4th Block
27450,McLeans Italian Pizzeria,Yes,No,3.4,30,Ejipura,Delivery,"American, Pizza",500,Delivery,Koramangala 4th Block
27451,B.M.W - Bhookh Mitaane Wala,Yes,No,3.7,502,Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese",500,Delivery,Koramangala 4th Block
27452,Nite Out,Yes,No,4.0,1110,Koramangala 4th Block,Delivery,"North Indian, Chinese, Biryani",500,Delivery,Koramangala 4th Block
27453,Kokomo,Yes,No,4.0,195,Koramangala 6th Block,Delivery,"Thai, Chinese",500,Delivery,Koramangala 4th Block
27455,China Pearl,Yes,Yes,4.4,1853,Koramangala 6th Block,Casual Dining,Chinese,1100,Delivery,Koramangala 4th Block
27456,Gods Own Cafe,Yes,No,4.4,384,Koramangala 7th Block,Quick Bites,"South Indian, Kerala, Seafood",300,Delivery,Koramangala 4th Block
27457,Sip N Bite,No,No,3.3,11,Bommanahalli,Quick Bites,"Fast Food, North Indian, South Indian, Chinese",300,Delivery,Koramangala 4th Block
27458,Malabar Treat,Yes,No,3.4,6,Koramangala 1st Block,Quick Bites,"North Indian, Arabian, South Indian, Chinese",500,Delivery,Koramangala 4th Block
27459,Dragon's Kitchen,Yes,No,3.1,248,HSR,Casual Dining,Chinese,500,Delivery,Koramangala 4th Block
27460,Bharat Kitchen,Yes,No,3.7,21,Koramangala 1st Block,Quick Bites,"Bengali, Chinese, Continental, Mughlai, North Indian, Oriya",300,Delivery,Koramangala 4th Block
27461,China Down Town,Yes,No,3.5,5,Koramangala 4th Block,Casual Dining,Chinese,800,Delivery,Koramangala 4th Block
27462,Sichuan,Yes,No,4.0,494,HSR,Casual Dining,"Chinese, Asian, Seafood",800,Delivery,Koramangala 4th Block
27463,Hotel Tanish,Yes,No,3.7,15,HSR,Quick Bites,South Indian,250,Delivery,Koramangala 4th Block
27464,Soup Station,Yes,No,3.9,38,Koramangala 4th Block,Quick Bites,"Healthy Food, Sandwich, Salad",200,Delivery,Koramangala 4th Block
27465,Night Spoon,Yes,No,2.6,54,BTM,Delivery,"Biryani, Chinese, North Indian",600,Delivery,Koramangala 4th Block
27466,Hotel Reddy Bhavan,Yes,No,3.4,11,HSR,Quick Bites,"Biryani, North Indian, Chinese, Andhra",300,Delivery,Koramangala 4th Block
27467,Magnolia,Yes,Yes,4.1,672,Koramangala 3rd Block,Casual Dining,"Chinese, Thai, Asian",900,Delivery,Koramangala 4th Block
27469,The Smoke Co.,Yes,Yes,4.3,519,Koramangala 6th Block,Casual Dining,"American, European",2500,Delivery,Koramangala 4th Block
27470,China Tang,Yes,No,3.7,41,BTM,"Takeaway, Delivery",Chinese,600,Delivery,Koramangala 4th Block
27471,Eatsomnia,Yes,No,3.4,433,Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese, Continental",500,Delivery,Koramangala 4th Block
27472,Friends Night Kitchen,Yes,No,3.8,110,Koramangala 6th Block,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Koramangala 4th Block
27473,House of Chaaps,Yes,No,3.8,0,Koramangala 1st Block,Quick Bites,"North Indian, Rolls",450,Delivery,Koramangala 4th Block
27474,Banjara Melting Pot,Yes,Yes,4.2,767,Koramangala 4th Block,Casual Dining,"North Indian, Chinese, Seafood",1700,Delivery,Koramangala 4th Block
27475,Intriicake,Yes,No,3.8,34,HSR,"Quick Bites, Bakery","Bakery, Desserts, Italian, North Indian, Fast Food",350,Delivery,Koramangala 4th Block
27476,Ocean,Yes,No,3.8,215,Koramangala 6th Block,Casual Dining,"Mexican, Continental, Italian, Chinese",700,Delivery,Koramangala 4th Block
27477,David's Kitchen,Yes,No,3.6,14,BTM,Quick Bites,"North Indian, South Indian, Chinese",200,Delivery,Koramangala 4th Block
27478,GrannyzHut,Yes,No,3.4,8,HSR,Quick Bites,"Bengali, North Indian",350,Delivery,Koramangala 4th Block
27480,Ghar Ka Khana,Yes,No,3.7,95,Koramangala 1st Block,Quick Bites,North Indian,150,Delivery,Koramangala 4th Block
27481,Polamma's Mess,Yes,No,4.2,185,BTM,Mess,"North Indian, Chinese, Biryani",300,Delivery,Koramangala 4th Block
27482,The Kitchen Bandit,Yes,No,3.2,42,Koramangala 2nd Block,Delivery,"Chinese, North Indian, Fast Food",350,Delivery,Koramangala 4th Block
27484,DeliBoin,Yes,No,3.7,67,BTM,Delivery,South Indian,150,Delivery,Koramangala 4th Block
27485,Oye Amritsar,Yes,Yes,4.0,1862,Koramangala 6th Block,Casual Dining,North Indian,600,Delivery,Koramangala 4th Block
27486,Breaktime Brew,Yes,No,3.7,24,Koramangala 7th Block,Cafe,Cafe,550,Delivery,Koramangala 4th Block
27487,Dhaba Express,Yes,No,3.7,175,HSR,"Takeaway, Delivery","Biryani, Fast Food, North Indian, Chinese",400,Delivery,Koramangala 4th Block
27488,Taza Khaana,Yes,No,3.1,175,HSR,Delivery,"Chinese, North Indian",450,Delivery,Koramangala 4th Block
27489,Wang's Xanadu Momo,No,No,3.8,14,HSR,Quick Bites,"Tibetan, Chinese, Momos",250,Delivery,Koramangala 4th Block
27491,Asia In A Box,Yes,No,3.2,5,Koramangala 1st Block,"Takeaway, Delivery","Thai, Asian",550,Delivery,Koramangala 4th Block
27492,Homely Curries & Pickles,Yes,No,3.1,21,Koramangala 1st Block,Quick Bites,"Biryani, Andhra",300,Delivery,Koramangala 4th Block
27493,154 Breakfast Club,Yes,Yes,4.0,1513,Koramangala 3rd Block,Cafe,"Cafe, Continental",900,Delivery,Koramangala 4th Block
27494,Chakh Le india,Yes,No,3.2,6,Bommanahalli,Quick Bites,"North Indian, Chinese",250,Delivery,Koramangala 4th Block
27495,Al-Marhaba Restaurant,Yes,No,3.2,0,BTM,Quick Bites,"Arabian, Chinese, North Indian, Rolls, Momos",400,Delivery,Koramangala 4th Block
27496,Swaadam Veg,Yes,No,3.6,34,BTM,Casual Dining,"South Indian, Chinese",300,Delivery,Koramangala 4th Block
27497,Tiffin Box,Yes,No,3.6,0,BTM,"Takeaway, Delivery",North Indian,200,Delivery,Koramangala 4th Block
27498,2nd Home Restaurant,Yes,No,3.7,21,BTM,Quick Bites,"South Indian, North Indian, Chinese",500,Delivery,Koramangala 4th Block
27499,India On Wheels,Yes,No,3.6,11,Koramangala 3rd Block,Delivery,North Indian,400,Delivery,Koramangala 4th Block
27500,Mealsbaba,Yes,No,3.7,57,HSR,"Takeaway, Delivery",North Indian,400,Delivery,Koramangala 4th Block
27501,Pensiri Cafe,Yes,No,3.6,48,HSR,"Takeaway, Delivery",North Indian,300,Delivery,Koramangala 4th Block
27502,Kevins Kitchen,Yes,No,3.8,103,Koramangala 6th Block,Quick Bites,"North Indian, Chinese, Biryani",400,Delivery,Koramangala 4th Block
27503,BIB - Breakfast in the Box,Yes,No,3.8,211,HSR,Delivery,"American, Sandwich",600,Delivery,Koramangala 4th Block
27504,Tempteys,Yes,No,3.7,39,HSR,"Beverage Shop, Dessert Parlor",Beverages,500,Delivery,Koramangala 4th Block
27505,Zero Kelvin,Yes,No,4.3,169,Koramangala 4th Block,Dessert Parlor,"Desserts, Beverages",450,Delivery,Koramangala 4th Block
27506,Abhiruchi,Yes,No,2.9,36,HSR,"Takeaway, Delivery","Andhra, Chinese, Biryani",400,Delivery,Koramangala 4th Block
27508,VRS Food Zone,Yes,No,3.3,5,Ejipura,Quick Bites,"Chinese, Fast Food",100,Delivery,Koramangala 4th Block
27509,Tongue Twisters,Yes,No,3.5,283,BTM,Quick Bites,"Bengali, North Indian, Oriya",350,Delivery,Koramangala 4th Block
27510,Nagarjuna,No,No,4.3,2303,Koramangala 5th Block,Casual Dining,"Andhra, North Indian, Biryani",800,Delivery,Koramangala 4th Block
27511,Kritunga Restaurant,No,No,3.8,1161,Koramangala 5th Block,Casual Dining,"Andhra, Biryani, North Indian, Chinese",650,Delivery,Koramangala 4th Block
27512,Cafe Fattoush,Yes,No,3.8,24,BTM,Cafe,"Cafe, Lebanese",700,Delivery,Koramangala 4th Block
27513,Mangalore Lunch Home,Yes,No,3.6,42,BTM,Quick Bites,"North Indian, South Indian, Mangalorean",250,Delivery,Koramangala 4th Block
27514,Royal View Restaurant,Yes,No,3.7,26,BTM,Casual Dining,"North Indian, Chinese, Arabian",700,Delivery,Koramangala 4th Block
27516,Hunan,No,Yes,4.3,2246,Koramangala 5th Block,Casual Dining,"Chinese, Thai, Momos",1100,Delivery,Koramangala 4th Block
27517,Amaravati,No,No,3.6,39,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,Koramangala 4th Block
27518,Shree Thali,No,No,4.1,183,Koramangala 5th Block,Mess,North Indian,150,Delivery,Koramangala 4th Block
27519,Mars Chicken Delight,No,No,3.7,107,Koramangala 1st Block,Casual Dining,"North Indian, Chinese, Biryani, Beverages",500,Delivery,Koramangala 4th Block
27522,Donne Biryani House,No,No,3.2,6,HSR,Quick Bites,Biryani,250,Delivery,Koramangala 4th Block
27525,Food And You,No,No,3.8,89,Koramangala 5th Block,Quick Bites,"North Indian, Gujarati",300,Delivery,Koramangala 4th Block
27526,Rudra Tiffin Service,No,No,3.3,4,Domlur,"Takeaway, Delivery",North Indian,250,Delivery,Koramangala 4th Block
27528,Jiyo Natural,No,No,3.6,14,South Bangalore,Delivery,"Healthy Food, North Indian",300,Delivery,Koramangala 4th Block
27529,Delhi Home Food,No,No,3.3,5,Koramangala 1st Block,Quick Bites,"North Indian, South Indian",200,Delivery,Koramangala 4th Block
27531,Kyakhanahai,No,No,3.4,8,Koramangala 5th Block,Delivery,"North Indian, South Indian",400,Delivery,Koramangala 4th Block
27532,Now Momos,No,No,3.4,11,Koramangala 7th Block,Quick Bites,"Chinese, Fast Food, Momos",200,Delivery,Koramangala 4th Block
27533,Sub Spot,No,No,3.3,4,Koramangala 6th Block,Delivery,"Salad, Sandwich",400,Delivery,Koramangala 4th Block
27534,Midnight Express,No,No,2.8,26,Koramangala 5th Block,"Takeaway, Delivery","North Indian, Chinese, Continental",650,Delivery,Koramangala 4th Block
27535,Yum Tum,No,No,3.4,7,Domlur,Quick Bites,"Salad, Greek, Mediterranean",250,Delivery,Koramangala 4th Block
27536,Combo Box,No,No,3.0,15,BTM,"Takeaway, Delivery","North Indian, Biryani, Chinese",500,Delivery,Koramangala 4th Block
27538,The Night King,No,No,3.3,4,Koramangala 7th Block,"Takeaway, Delivery","North Indian, Chinese",400,Delivery,Koramangala 4th Block
27540,Urban Spice,Yes,No,3.6,23,Ejipura,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,Koramangala 4th Block
27541,Hotel Oottupura,No,No,3.6,21,Ejipura,Quick Bites,South Indian,200,Delivery,Koramangala 4th Block
27542,Fudgy Love Designer Cakes,No,No,3.7,20,Domlur,"Bakery, Dessert Parlor","Bakery, Desserts",600,Delivery,Koramangala 4th Block
27543,Cafe Velvette,No,No,3.5,11,Domlur,"Cafe, Dessert Parlor","Cafe, American, Italian, Continental",400,Delivery,Koramangala 4th Block
27546,Adithya Family Restaurant,No,No,3.7,27,BTM,Quick Bites,South Indian,250,Delivery,Koramangala 4th Block
27548,Desi Breakk,No,No,3.3,7,HSR,Delivery,North Indian,150,Delivery,Koramangala 4th Block
27549,Pooja's Kitchen,No,No,3.7,17,Koramangala 8th Block,Delivery,"Bengali, Street Food",300,Delivery,Koramangala 4th Block
27550,Parivaar,No,No,3.3,7,BTM,Delivery,"Biryani, North Indian, Chinese",600,Delivery,Koramangala 4th Block
27551,Chawla's 2 Online.com,No,No,3.5,4,Koramangala 1st Block,"Takeaway, Delivery",North Indian,800,Delivery,Koramangala 4th Block
27558,Hyderabadi Biryani House,No,No,3.5,0,BTM,Quick Bites,Biryani,300,Delivery,Koramangala 4th Block
27559,Kalpana's Kitchen,No,No,3.5,0,Ejipura,"Takeaway, Delivery","Bengali, North Indian",400,Delivery,Koramangala 4th Block
27560,GR Foods,Yes,No,3.5,0,BTM,Quick Bites,"Andhra, Biryani",350,Delivery,Koramangala 4th Block
27561,NY8LIFE,No,No,3.2,4,BTM,Delivery,"North Indian, Rolls, Biryani",300,Delivery,Koramangala 4th Block
27562,Midnight Special,Yes,No,3.2,0,HSR,"Takeaway, Delivery","North Indian, Fast Food, Chinese",500,Delivery,Koramangala 4th Block
27563,9 Bowls,Yes,No,3.2,0,Koramangala 1st Block,Quick Bites,"Healthy Food, Continental, North Indian, Chinese",500,Delivery,Koramangala 4th Block
27564,Star Bowl,Yes,No,3.2,0,HSR,"Takeaway, Delivery","North Indian, Chinese, Rolls",650,Delivery,Koramangala 4th Block
27573,Night Panda,No,No,3.8,196,Koramangala 1st Block,Delivery,"Fast Food, Chinese, North Indian, American",500,Delivery,Koramangala 4th Block
27577,Tawa,Yes,No,3.4,25,Koramangala 1st Block,Quick Bites,North Indian,200,Delivery,Koramangala 4th Block
27578,Healthy Sapiens,Yes,No,3.8,23,Frazer Town,Delivery,"American, European, Healthy Food",300,Delivery,Koramangala 4th Block
27579,South Side Grill,Yes,No,3.5,14,HSR,Casual Dining,"Mughlai, North Indian, Andhra",600,Delivery,Koramangala 4th Block
27580,The Night Watch Express,Yes,No,3.0,53,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Chinese",500,Delivery,Koramangala 4th Block
27581,Homifoo,Yes,No,3.5,11,HSR,Quick Bites,North Indian,300,Delivery,Koramangala 4th Block
27582,Delicious Demons,Yes,No,3.3,26,Koramangala 1st Block,Delivery,Continental,400,Delivery,Koramangala 4th Block
27583,Midnight Restro,Yes,No,3.4,55,BTM,Delivery,"North Indian, Fast Food",500,Delivery,Koramangala 4th Block
27584,Hasini Foods,No,No,2.9,21,Koramangala 4th Block,Quick Bites,"Andhra, Chinese, North Indian",450,Delivery,Koramangala 4th Block
27585,Subham Pal Kitchen,Yes,No,3.3,10,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",300,Delivery,Koramangala 4th Block
27587,Natuna Seafood House,Yes,No,4.1,76,Koramangala 5th Block,Quick Bites,Seafood,450,Delivery,Koramangala 4th Block
27589,Flavour of China,Yes,No,3.8,254,BTM,Casual Dining,Chinese,600,Delivery,Koramangala 4th Block
27590,Aaranya Restaurant,Yes,No,3.4,212,HSR,Casual Dining,"North Indian, Chinese, Mughlai",800,Delivery,Koramangala 4th Block
27591,Kataria's Home Food,Yes,No,3.1,40,BTM,Quick Bites,North Indian,400,Delivery,Koramangala 4th Block
27592,Allana Kabab,No,No,3.3,4,Richmond Road,Quick Bites,North Indian,200,Delivery,Koramangala 4th Block
27595,BTM Bawarchi Biryani,Yes,No,3.6,132,BTM,"Takeaway, Delivery","Biryani, North Indian, Chinese",600,Delivery,Koramangala 4th Block
27596,DilliBite,Yes,No,3.5,33,Ulsoor,Quick Bites,"North Indian, Chinese",600,Delivery,Koramangala 4th Block
27597,Red Bawarchi,Yes,No,3.0,20,Koramangala 7th Block,Delivery,"Biryani, Chinese, North Indian",600,Delivery,Koramangala 4th Block
27598,Desi Vibes,Yes,No,3.7,46,BTM,Casual Dining,"North Indian, Chinese",600,Delivery,Koramangala 4th Block
27599,Queen Pearls,Yes,No,3.6,25,Ejipura,"Takeaway, Delivery",Pizza,500,Delivery,Koramangala 4th Block
27600,Zodiac Grills,Yes,No,3.2,4,HSR,Quick Bites,"North Indian, Chinese",500,Delivery,Koramangala 4th Block
27601,Healthy Parathawala,Yes,No,3.2,0,BTM,Quick Bites,North Indian,200,Delivery,Koramangala 4th Block
27603,Chination,Yes,No,3.5,4,Koramangala 4th Block,Delivery,Chinese,600,Delivery,Koramangala 4th Block
27605,Bhandary's Kitchen,Yes,No,3.6,16,Koramangala 7th Block,Delivery,North Indian,300,Delivery,Koramangala 4th Block
27608,Eshmeet Da Dhaba,Yes,No,3.1,120,Koramangala 6th Block,Casual Dining,"North Indian, Chinese",500,Delivery,Koramangala 4th Block
27609,Marahaba,Yes,No,3.0,7,Koramangala 6th Block,Quick Bites,"Arabian, Mediterranean",400,Delivery,Koramangala 4th Block
27610,Hungry Monster,Yes,No,3.0,0,HSR,"Takeaway, Delivery","Biryani, Chinese, North Indian",300,Delivery,Koramangala 4th Block
27611,Kapoor's Biriyani,Yes,No,3.3,334,BTM,Quick Bites,"Biryani, North Indian",400,Delivery,Koramangala 4th Block
27612,Sagar Fast Food,Yes,No,3.7,67,BTM,Quick Bites,"South Indian, Chinese, North Indian",300,Delivery,Koramangala 4th Block
27613,Maxpresso,No,No,4.1,324,Koramangala 7th Block,Cafe,"Cafe, American, Italian, Beverages",700,Delivery,Koramangala 4th Block
27614,Billionaires Cafe,No,No,3.8,47,Koramangala 5th Block,Cafe,"Cafe, Italian",600,Delivery,Koramangala 4th Block
27615,Imperial Restaurant,Yes,No,3.6,243,Koramangala 6th Block,Casual Dining,"Seafood, Biryani, South Indian, Chettinad, Chinese, Arabian, Andhra, Kerala",800,Delivery,Koramangala 4th Block
27617,Desi Aahar,Yes,No,3.6,0,BTM,Quick Bites,"North Indian, Chinese, Seafood",400,Delivery,Koramangala 4th Block
27621,The Food Dude,Yes,No,4.0,177,Koramangala 6th Block,Delivery,"Fast Food, Burger, Sandwich, Pizza",300,Delivery,Koramangala 4th Block
27622,The Retro,Yes,No,3.2,47,Koramangala 7th Block,Quick Bites,"Chinese, Burger",300,Delivery,Koramangala 4th Block
27623,The Paratha Stories,Yes,No,3.3,38,Koramangala 1st Block,Delivery,North Indian,400,Delivery,Koramangala 4th Block
27624,Chung Shan Chinese Restaurant,No,No,3.7,32,Ejipura,Quick Bites,"Chinese, Momos",500,Delivery,Koramangala 4th Block
